PRECINCTID20,PRES20R,PRES20L,PRES20D,SEN20R,SEN20L,SEN20D,CONG20R,CONG20L,CONG20D,STSEN20R,STSEN20D
010001,278,5,65,257,8,74,280,11,62,275,71
010002,245,1,56,232,4,66,241,9,55,240,62
010003,113,0,23,106,0,31,110,3,26,113,27
010004,195,2,85,175,7,91,197,10,76,196,86
010005,171,2,46,156,3,53,162,4,54,169,50
010006,425,4,112,391,10,138,423,17,107,425,117
010007,434,3,136,391,10,163,423,21,130,434,142
010008,308,4,81,283,8,94,309,11,77,317,77
010010,118,1,26,115,3,26,114,7,27,119,25
010011,185,3,35,160,5,40,171,9,38,177,39
010012,378,2,50,353,6,61,366,14,53,372,58
010013,249,3,91,233,4,99,251,5,91,252,94
010014,386,4,156,356,10,177,395,19,141,381,173
010016,357,2,71,347,4,74,347,11,69,360,70
010017,561,10,115,513,24,124,544,30,115,567,117
010018,505,5,135,449,17,167,495,21,132,513,132
010019,677,11,104,617,15,137,660,29,113,687,111
020110,170,3,14,166,4,12,0,0,0,0,0
020120,175,5,16,172,3,15,0,0,0,0,0
020140,334,3,46,306,9,54,0,0,0,0,0
020220,429,9,64,416,13,73,0,0,0,0,0
020230,243,5,36,238,8,34,0,0,0,0,0
020310,284,2,32,276,3,39,0,0,0,0,0
020320,156,3,16,147,3,22,0,0,0,0,0
020330,187,1,8,178,3,13,0,0,0,0,0
030001,433,4,119,426,12,111,434,10,113,0,0
030002,350,6,62,342,7,61,340,8,69,0,0
030003,259,5,95,255,4,94,260,4,88,0,0
030006,256,1,50,249,3,51,251,3,51,0,0
030007,394,5,75,380,2,80,392,6,71,0,0
030008,693,4,88,662,10,96,682,13,89,0,0
030009,433,3,62,412,12,67,420,10,59,0,0
030010,138,0,11,129,1,13,132,3,13,0,0
030011,743,10,116,707,17,123,715,24,121,0,0
030012,329,1,32,310,4,37,319,4,37,0,0
030013,296,6,34,289,6,38,293,4,37,0,0
030014,117,3,5,110,2,8,111,2,8,0,0
030015,82,0,14,77,0,18,77,0,19,0,0
030016,0,0,0,0,0,0,0,0,0,0,0
030017,0,0,0,0,0,0,0,0,0,0,0
030018,0,0,0,0,0,0,0,0,0,0,0
030019,34,1,2,32,3,1,32,3,2,0,0
040011,180,0,11,171,0,17,0,0,0,0,0
040013,119,1,2,112,3,4,0,0,0,0,0
040023,711,6,89,689,14,89,0,0,0,0,0
040025,172,0,23,165,1,21,0,0,0,0,0
040026,48,0,3,44,2,3,0,0,0,0,0
040031,246,2,10,234,6,11,0,0,0,0,0
040033,492,6,52,474,17,50,0,0,0,0,0
050111,693,14,125,643,27,148,0,0,0,0,0
050112,324,1,37,302,3,47,0,0,0,0,0
050115,162,2,13,161,2,14,0,0,0,0,0
050141,662,7,104,627,19,122,0,0,0,0,0
050231,374,4,39,355,10,43,0,0,0,0,0
050232,102,1,17,101,2,17,0,0,0,0,0
